time,herecium,control,lentinus,pleurotus
749.3000000000001,32.442622,2949.358895,2.8e-05,-3338.266746
749.4000000000001,31.897798,2933.917567,2.9e-05,-3338.707611
749.5,32.205135,2942.293184,2.8e-05,-3339.322284
749.6,32.512471,2950.669033,2.6e-05,-3339.902032
749.7,32.819808,2959.04465,2.8e-05,-3340.446856
749.8000000000001,32.400712,2950.7,3e-05,-3340.905532
749.9000000000001,31.981617,2942.35535,2.8e-05,-3341.278061
750.0,32.378983,2945.062472,2.7e-05,-3341.65059
750.1,32.776345,2947.769361,2.5e-05,-3342.055716
750.2,33.17371,2950.476483,2.6e-05,-3342.493437
750.3000000000001,32.489188,2951.472998,2.7e-05,-3342.931159
750.4000000000001,31.804666,2952.469513,2.8e-05,-3343.559802
750.5,31.761203,2948.427573,2.7e-05,-3344.379365
750.6,31.717744,2944.385633,2.6e-05,-3344.821744
750.7,31.674281,2940.343693,2.7e-05,-3344.886936
750.8000000000001,31.688251,2950.485796,2.8e-05,-3345.062374
750.9000000000001,31.70222,2960.627899,2.8e-05,-3345.347941
751.0,31.925738,2951.55379,2.8e-05,-3345.633508
751.1,32.149255,2942.479448,2.8e-05,-3345.735953
751.2,32.372773,2933.40534,2.7e-05,-3345.655277
751.3000000000001,32.167882,2949.680202,2.7e-05,-3345.574602
751.4000000000001,31.962991,2965.955064,2.6e-05,-3345.627338
751.5,31.950574,2942.504361,2.8e-05,-3345.813602
751.6,31.956781,2953.726798,2.9e-05,-3345.722798
751.7,31.962991,2964.949235,2.8e-05,-3345.354926
751.8000000000001,31.935051,2950.057387,2.8e-05,-3345.15085
751.9000000000001,31.907111,2935.165539,3.2e-05,-3345.110454
752.0,32.099586,2943.016589,3e-05,-3345.070058
752.1,32.292057,2950.867638,2.8e-05,-3344.966099
752.2,32.484531,2958.718687,2.9e-05,-3344.798461
752.3000000000001,31.846575,2951.021306,3.1e-05,-3344.630823
752.4000000000001,31.208619,2943.323925,3.2e-05,-3344.41429
752.5,31.571835,2945.698798,3.1e-05,-3344.148863
752.6,31.935051,2948.07367,3e-05,-3343.955614
752.7,32.298267,2950.448543,3.3e-05,-3343.834542
752.8000000000001,31.725504,2951.622009,3.7e-05,-3343.659104
752.9000000000001,31.15274,2952.795476,3.6e-05,-3343.429416
753.0,31.574938,2948.902547,3.5e-05,-3343.199729
753.1,31.99714,2945.009619,3.4e-05,-3342.828713
753.2,32.419339,2941.116691,3.6e-05,-3342.470154
753.3000000000001,31.902455,2951.128408,3.8e-05,-3342.265263
753.4000000000001,31.385571,2961.140126,4e-05,-3342.221025
753.5,31.683594,2951.851813,4e-05,-3342.337441
753.6,31.981617,2942.563267,4e-05,-3342.353739
753.7,32.27964,2933.274955,4.1e-05,-3342.26992
753.8000000000001,32.0049,2949.708141,4.3e-05,-3342.282376
753.9000000000001,31.73016,2966.141328,4.4e-05,-3342.390992
754.0,32.01266,2954.332158,4.3e-05,-3342.499607
754.1,32.295164,2942.522988,4.2e-05,-3342.363052
754.2,32.577664,2930.713817,4.2e-05,-3341.98121
754.3000000000001,32.591633,2947.808243,4.2e-05,-3341.599368
754.4000000000001,32.605603,2964.902669,4.2e-05,-3341.54116
754.5,32.363459,2954.633208,4.4e-05,-3341.806587
754.6,32.121316,2944.36398,4.5e-05,-3341.715783
754.7,31.879172,2934.094518,4.3e-05,-3341.268748
754.8000000000001,32.051466,2947.19357,4.1e-05,-3341.090283
754.9000000000001,32.223761,2960.292622,4.2e-05,-3341.180272
755.0,31.851232,2954.248339,4.4e-05,-3341.270261
755.1,31.478703,2948.204055,4.5e-05,-3341.259435
755.2,31.106174,2942.159772,4.3e-05,-3341.147676
755.3000000000001,30.90594,2946.597524,4.2e-05,-3341.035917
755.4000000000001,30.705705,2951.035276,4e-05,-3340.851981
755.5,30.336281,2951.274393,4.1e-05,-3340.595867
755.6,29.966855,2951.513277,4.2e-05,-3339.536488
755.7,29.597431,2951.752394,3.9e-05,-3337.673843
755.8000000000001,30.207448,2946.956083,3.6e-05,-3335.100249
755.9000000000001,30.817464,2942.159772,3.8e-05,-3331.815824
756.0,30.283505,2948.247595,4e-05,-3328.531398
756.1,29.749548,2954.335185,4.1e-05,-3326.254315
756.2,29.215589,2960.423008,3.9e-05,-3324.984573
756.3000000000001,29.732473,2947.240137,3.7e-05,-3323.714831
756.4000000000001,30.249357,2934.057266,3.5e-05,-3322.998527
756.5,30.15933,2944.416599,3.6e-05,-3322.835546
756.6,30.069301,2954.776166,3.6e-05,-3323.75057
756.7,29.979274,2965.1355,3.4e-05,-3325.743601
756.8000000000001,30.030496,2948.031761,3.2e-05,-3327.294253
756.9000000000001,30.081719,2930.928022,3.2e-05,-3328.402527
757.0,30.240044,2942.671999,3.2e-05,-3329.510801
757.1,30.398369,2954.415977,3.1e-05,-3330.45295
757.2,30.556694,2966.159955,3e-05,-3331.229091
757.3000000000001,30.510128,2949.996851,2.9e-05,-3332.005232
757.4000000000001,30.463561,2933.833748,2.8e-05,-3332.621418
757.5,30.659139,2942.721592,2.6e-05,-3333.077766
757.6,30.854717,2951.609669,2.4e-05,-3333.631903
757.7,31.050295,2960.497513,2.4e-05,-3334.283829
757.8000000000001,30.607916,2950.895578,2.4e-05,-3334.724694
757.9000000000001,30.165538,2941.293642,1.9e-05,-3334.954381
758.0,30.531857,2944.674343,2e-05,-3335.184068
758.1,30.89818,2948.055044,2e-05,-3335.396759
758.2,31.264499,2951.435745,1.8e-05,-3335.592337
758.3000000000001,30.635856,2950.918861,1.6e-05,-3335.787915
758.4000000000001,30.007213,2950.401977,1.4e-05,-3335.971851
758.5,31.252082,2948.284848,1.5e-05,-3336.144146
758.6,30.941639,2953.897463,1.6e-05,-3336.293157
758.7,30.631199,2959.510311,1.4e-05,-3336.418886
758.8000000000001,31.143427,2947.156318,1.2e-05,-3336.546943
758.9000000000001,31.655654,2934.802324,1e-05,-3336.677328
759.0,31.484913,2944.997279,1.2e-05,-3336.807713
759.1,31.314168,2955.192002,1.4e-05,-3336.871392
759.2,31.143427,2965.386957,1.3e-05,-3336.868249
759.3000000000001,31.548552,2948.548645,1.1e-05,-3336.865106
759.4000000000001,31.953678,2931.710333,1e-05,-3336.998634
759.5,32.087166,2943.295985,1.1e-05,-3337.268718
759.6,32.220658,2954.881638,1.2e-05,-3337.364178
759.7,32.354146,2966.467291,1.1e-05,-3337.285016
759.8000000000001,32.30758,2950.117923,1e-05,-3337.35405
759.9000000000001,32.261014,2933.768556,9e-06,-3337.571397
760.0,32.378983,2943.22148,9e-06,-3337.788745
760.1,32.496948,2952.674404,9e-06,-3337.59468
760.2,32.614917,2962.127328,9e-06,-3337.301314
760.3000000000001,32.372773,2951.058559,9e-06,-3337.31994
760.4000000000001,32.130629,2939.98979,9e-06,-3337.215167
760.5,32.875687,2944.463165,7e-06,-3336.986993
760.6,33.620745,2948.936773,6e-06,-3336.94974
760.7,34.365803,2953.410149,7e-06,-3337.103408
760.8000000000001,33.900142,2951.337956,8e-06,-3337.184899
760.9000000000001,33.43448,2949.265763,7e-06,-3337.194212
761.0,33.657998,2947.769361,5e-06,-3337.203525
761.1,33.881515,2946.273191,4e-06,-3337.226808
761.2,34.105033,2944.776788,5e-06,-3337.264061
761.3000000000001,32.805838,2951.603383,7e-06,-3337.301314
761.4000000000001,31.506643,2958.429977,8e-06,-3337.401431
761.5,32.223761,2951.159375,5e-06,-3337.564413
761.6,32.940879,2943.889005,1e-06,-3337.676171
761.7,33.657998,2936.618403,3e-06,-3337.736707
761.8000000000001,34.221448,2950.504422,5e-06,-3337.909817
761.9000000000001,34.784898,2964.390442,3e-06,-3338.195384
762.0,35.253663,2953.658579,2e-06,-3338.48095
762.1,35.722431,2942.926483,0.0,-3338.560113
762.2,36.191195,2932.19462,1e-06,-3338.432871
762.3000000000001,35.725534,2949.163318,3e-06,-3338.305629
762.4000000000001,35.259873,2966.132015,4e-06,-3338.356037
762.5,35.054982,2954.931231,2e-06,-3338.584211
762.6,34.850091,2943.73068,0.0,-3338.549286
762.7,34.6452,2932.529896,0.0,-3338.251263
762.8000000000001,34.840778,2947.924659,2e-06,-3338.161274
762.9000000000001,35.036355,2963.319421,2e-06,-3338.279203
763.0,34.772482,2955.219941,1e-06,-3338.397131
763.1,34.508605,2947.120694,0.0,-3338.372335
763.2,34.244731,2939.021215,0.0,-3338.204697
763.3000000000001,34.961849,2947.817557,-1e-06,-3338.037059
763.4000000000001,35.678968,2956.613898,-2e-06,-3338.002134
763.5,35.365421,2953.33867,-2e-06,-3338.099923
763.6,35.051879,2950.063674,-2e-06,-3337.983508
763.7,34.738332,2946.788445,-3e-06,-3337.652888
763.8000000000001,35.082921,2947.063185,-4e-06,-3337.531001
763.9000000000001,35.427511,2947.337925,-5e-06,-3337.617964
764.0,35.020832,2950.048074,-4e-06,-3337.704926
764.1,34.614157,2952.758223,-2e-06,-3337.666043
764.2,34.207478,2955.468372,-4e-06,-3337.501548
764.3000000000001,34.635887,2947.202884,-5e-06,-3337.337053
764.4000000000001,35.064295,2938.937396,-6e-06,-3336.996306
764.5,34.365803,2963.170409,-4e-06,-3336.479422
764.6,34.477562,2948.427573,-2e-06,-3335.915972
764.7,34.58932,2933.684736,-3e-06,-3335.305955
764.8000000000001,34.715049,2950.401977,-5e-06,-3334.626905
764.9000000000001,34.840778,2967.119217,-6e-06,-3333.878703
765.0,34.558278,2955.375239,-3e-06,-3333.130502
765.1,34.275774,2943.631262,-4e-06,-3332.598135
765.2,33.993274,2931.887284,-3e-06,-3332.281485
765.3000000000001,34.170225,2948.599868,-2e-06,-3331.964836
765.4000000000001,34.347177,2965.312451,0.0,-3333.378118
765.5,34.235418,2955.378266,-2e-06,-3336.521331
765.6,34.123659,2945.444314,-3e-06,-3344.109282
765.7,34.0119,2935.510129,-2e-06,-3356.14197
765.8000000000001,34.216791,2947.305329,0.0,-3366.223536
765.9000000000001,34.421682,2959.10053,0.0,-3374.353983
766.0,34.126762,2953.813644,0.0,-3382.484429
766.1,33.831846,2948.526992,0.0,-3396.101878
766.2,33.536926,2943.240106,0.0,-3407.066688
766.3000000000001,33.881515,2947.039902,0.0,-3409.891739
766.4000000000001,34.226105,2950.839698,0.0,-3412.477672
766.5,33.838052,2951.131435,2e-06,-3414.824605
766.6,33.450004,2951.423405,4e-06,-3416.219261
766.7,33.061951,2951.715142,3e-06,-3416.661639
766.8000000000001,33.839606,2946.956083,3e-06,-3416.822292
766.9000000000001,34.61726,2942.197025,3e-06,-3416.70122
767.0,34.2944,2948.148176,5e-06,-3416.580148
767.1,33.971544,2954.099327,8e-06,-3416.539752
767.2,33.648685,2960.050479,7e-06,-3416.580148
767.3000000000001,34.06778,2947.403118,6e-06,-3416.620544
767.4000000000001,34.486875,2934.755757,4e-06,-3417.199478
767.5,34.393743,2945.121378,8e-06,-3418.317065
767.6,34.30061,2955.486998,1.1e-05,-3420.845605
767.7,34.207478,2965.852618,9e-06,-3424.7851
767.8000000000001,34.142286,2949.391492,7e-06,-3429.066041
767.9000000000001,34.077093,2932.930365,5e-06,-3433.688544
768.0,34.139182,2944.202395,8e-06,-3438.311047
768.1,34.201268,2955.474658,1e-05,-3443.332389
768.2,34.263358,2966.746688,9e-06,-3448.752686
768.3000000000001,33.932738,2950.225025,8e-06,-3454.172984
768.4000000000001,33.602118,2933.703363,6e-06,-3460.494336
768.5,33.803906,2943.265019,8e-06,-3467.716742
768.6,34.00569,2952.826442,9e-06,-3474.899568
768.7,34.207478,2962.388098,8e-06,-3482.042812
768.8000000000001,33.974648,2950.495109,7e-06,-3487.266018
768.9000000000001,33.741817,2938.60212,6e-06,-3490.56907
769.0,33.943605,2944.33278,6e-06,-3493.872122
769.1,34.145389,2950.063674,6e-06,-3496.441059
769.2,34.347177,2955.794334,6e-06,-3498.275764
769.3000000000001,33.760443,2951.86881,6e-06,-3500.11047
769.4000000000001,33.17371,2947.943285,6e-06,-3501.446918
769.5,33.605222,2947.458997,6e-06,-3502.285108
769.6,34.036737,2946.97471,5e-06,-3502.427135
769.7,34.468248,2946.490422,6e-06,-3501.872998
769.8000000000001,33.918768,2951.831557,6e-06,-3501.313389
769.9000000000001,33.369288,2957.172692,7e-06,-3500.748426
770.0,33.760443,2950.68766,5e-06,-3500.183462
770.1,34.151599,2944.202395,3e-06,-3499.918035
770.2,34.542754,2937.717363,4e-06,-3499.952145
770.3000000000001,34.146942,2950.746566,5e-06,-3499.986255
770.4000000000001,33.75113,2963.775769,7e-06,-3500.63201
770.5,33.800799,2953.295363,4e-06,-3501.889296
770.6,33.850472,2942.814725,2e-06,-3503.269982
770.7,33.900142,2932.334319,4e-06,-3504.774068
770.8000000000001,33.485703,2949.931659,7e-06,-3506.358131
770.9000000000001,33.071265,2967.528999,2e-06,-3508.022055
771.0,33.092994,2955.862554,5e-06,-3509.685979
771.1,33.114728,2944.196342,8e-06,-3511.185409
771.2,33.136457,2932.529896,6e-06,-3512.520343
771.3000000000001,33.117831,2949.321643,4e-06,-3513.855278
771.4000000000001,33.099204,2966.113389,2e-06,-3515.216522
771.5,33.099204,2943.861065,4e-06,-3516.604193
771.6,33.210963,2951.941686,5e-06,-3517.491277
771.7,33.322722,2960.022539,4e-06,-3517.877776
771.8000000000001,32.833777,2951.435745,3e-06,-3518.254147
771.9000000000001,32.344833,2942.848951,2e-06,-3518.620506
772.0,32.900523,2945.596352,3e-06,-3518.986865
772.1,33.45621,2948.343754,4e-06,-3519.525402
772.2,34.0119,2951.091155,4e-06,-3520.236351
772.3000000000001,33.262186,2951.743081,5e-06,-3520.947299
772.4000000000001,32.512471,2952.395007,5e-06,-3523.624036
772.5,32.729778,2949.324669,5e-06,-3528.266679
772.6,32.947089,2946.254564,5e-06,-3535.046708
772.7,33.164397,2943.184227,7e-06,-3543.964121
772.8000000000001,32.656826,2952.027135,8e-06,-3551.72751
772.9000000000001,32.149255,2960.870042,7e-06,-3558.336757
773.0,32.506261,2952.643437,7e-06,-3564.946004
773.1,32.86327,2944.416599,6e-06,-3579.102107
773.2,33.220276,2936.189994,8e-06,-3592.106514
773.3000000000001,32.526441,2950.774506,1e-05,-3596.412367
773.4000000000001,31.832606,2965.359017,1.2e-05,-3601.62463
773.5,32.068539,2954.415977,1e-05,-3607.74342
773.6,32.304477,2943.472937,8e-06,-3612.961154
773.7,32.540411,2932.529896,1.1e-05,-3617.277835
773.8000000000001,32.386743,2949.405462,1.3e-05,-3620.406264
773.9000000000001,32.233074,2966.281027,1.5e-05,-3622.346558
774.0,32.30137,2955.285134,1.4e-05,-3624.286852
774.1,32.369669,2944.289474,1.2e-05,-3625.409096
774.2,32.437965,2933.293581,1.3e-05,-3625.713289
774.3000000000001,32.703392,2948.846668,1.4e-05,-3626.017482
774.4000000000001,32.968819,2964.399755,1.6e-05,-3625.499085
774.5,32.798078,2955.657663,1.4e-05,-3624.15798
774.6,32.627333,2946.915803,1.2e-05,-3622.039221
774.7,32.456592,2938.173711,1.4e-05,-3619.142808
774.8000000000001,32.717362,2947.761677,1.6e-05,-3616.434173
774.9000000000001,32.978132,2957.349643,1.5e-05,-3613.913432
775.0,32.804284,2953.500254,1.4e-05,-3611.392691
775.1,32.63044,2949.650632,1.3e-05,-3608.598723
775.2,32.456592,2945.801243,1.4e-05,-3605.531529
775.3000000000001,33.15974,2947.002649,1.6e-05,-3602.464334
775.4000000000001,33.862889,2948.204055,1.7e-05,-3598.101903
775.5,33.46863,2950.538648,2.4e-05,-3592.444118
775.6,33.074368,2952.873008,3.1e-05,-3586.61171
775.7,32.680109,2955.207601,4.2e-05,-3580.60468
775.8000000000001,33.001415,2947.458997,5.2e-05,-3575.831652
775.9000000000001,33.322722,2939.710394,6.3e-05,-3572.292626
776.0,32.987446,2947.210567,7.6e-05,-3568.7536
776.1,32.652169,2954.710973,8.9e-05,-3565.369756
776.2,32.316893,2962.211147,8.9e-05,-3562.14121
776.3000000000001,32.633543,2948.39032,9e-05,-3558.912664
776.4000000000001,32.950193,2934.569493,9.1e-05,-3554.655705
776.5,32.943983,2945.217537,8.8e-05,-3549.370449
776.6,32.937776,2955.865813,8.6e-05,-3544.42047
776.7,32.931566,2966.513857,8e-05,-3539.805766
776.8000000000001,33.369288,2949.25645,7.5e-05,-3535.88874
776.9000000000001,33.807009,2931.999043,7e-05,-3532.669507
777.0,33.713877,2943.379804,6.7e-05,-3529.450274
777.1,33.620745,2954.760566,6.5e-05,-3526.32103
